user_id,country,gender,creation_time,age_group
14,UK,m,2003,45+
134,NL,m,2004,35-44
160,US,m,2004,45+
174,RU,m,2004,25-34
176,US,m,2004,25-34
197,US,m,2004,25-34
238,NL,m,2004,35-44
261,PL,m,2004,25-34
268,US,m,2004,25-34
271,US,m,2004,25-34
295,NL,m,2004,45+
361,NL,m,2004,25-34
364,FI,m,2004,25-34
470,US,m,2004,25-34
475,FI,m,2004,35-44
480,US,m,2004,18-24
506,US,m,2004,25-34
535,BR,m,2004,25-34
561,US,m,2004,25-34
590,US,m,2004,25-34
687,US,m,2005,25-34
700,PL,m,2005,25-34
736,US,m,2005,25-34
804,UK,m,2005,25-34
835,FI,m,2005,25-34
869,US,m,2005,25-34
915,NL,m,2005,45+
985,UK,m,2005,25-34
1079,UK,m,2005,25-34
1245,US,m,2005,18-24
1273,PL,m,2005,35-44
1303,US,f,2005,18-24
1329,US,,2005,25-34
1370,US,m,2005,25-34
1402,US,m,2005,25-34
1621,UK,m,2005,35-44
1679,BR,m,2005,25-34
1680,UK,m,2005,25-34
1715,FI,m,2005,25-34
1921,US,m,2005,35-44
1997,RU,f,2005,18-24
2116,NL,m,2005,35-44
2194,UK,m,2005,25-34
2200,US,m,2005,25-34
2305,NL,m,2005,18-24
2473,US,m,2005,18-24
2483,PL,m,2005,18-24
2491,DE,m,2005,25-34
2497,UK,m,2005,18-24
2563,NL,m,2005,18-24
2609,UK,m,2005,25-34
2621,UK,m,2005,18-24
2823,US,m,2005,35-44
2956,NL,f,2005,18-24
3031,US,f,2005,18-24
3062,DE,m,2005,25-34
3095,UK,m,2005,45+
3141,RU,m,2005,25-34
3207,SE,m,2005,18-24
3221,FI,m,2005,18-24
3222,FI,m,2005,25-34
3234,DE,m,2005,25-34
3250,US,m,2005,25-34
3285,FI,f,2005,25-34
3331,US,m,2005,35-44
3345,UK,m,2005,18-24
3362,US,m,2005,35-44
3398,DE,m,2006,25-34
3420,US,m,2006,25-34
3482,UK,m,2006,18-24
3533,UK,m,2006,18-24
3638,UK,m,2006,18-24
3704,PL,f,2006,25-34
3786,SE,m,2006,18-24
3844,US,m,2006,25-34
3882,US,m,2006,35-44
3904,UK,m,2006,35-44
3943,US,m,2006,18-24
3985,PL,m,2006,18-24
4091,US,m,2006,35-44
4102,BR,m,2006,25-34
4302,UK,m,2006,18-24
4404,RU,m,2006,25-34
4423,US,m,2006,18-24
4483,US,f,2006,25-34
4654,US,f,2006,18-24
4657,UK,m,2006,18-24
4927,PL,m,2006,25-34
4963,NL,m,2006,35-44
5066,PL,m,2006,25-34
5073,US,m,2006,25-34
5154,PL,m,2006,18-24
5163,UK,m,2006,35-44
5226,UK,m,2006,18-24
5422,US,m,2006,25-34
5434,PL,m,2006,18-24
5598,US,m,2006,18-24
5747,PL,m,2006,18-24
5773,PL,m,2006,18-24
5910,US,m,2006,18-24
6005,FI,m,2006,25-34
6020,FI,m,2006,45+
6023,NL,m,2006,25-34
6085,BR,f,2006,18-24
6232,PL,m,2006,25-34
6472,US,m,2006,35-44
6479,US,m,2006,35-44
6494,UK,m,2006,18-24
6496,DE,m,2006,25-34
6535,US,m,2006,18-24
6660,FI,m,2006,25-34
6703,DE,m,2006,25-34
6750,NL,m,2006,35-44
6871,BR,m,2006,18-24
7024,US,m,2006,25-34
7055,US,m,2006,18-24
7098,UK,m,2006,25-34
7122,UK,m,2006,35-44
7144,FI,m,2006,18-24
7222,US,m,2006,25-34
7235,UK,m,2006,45+
7363,DE,m,2006,25-34
7534,DE,m,2006,18-24
7537,BR,m,2006,25-34
7597,UK,m,2006,45+
7626,US,m,2006,35-44
7785,US,m,2006,18-24
8026,RU,f,2006,18-24
8142,PL,f,2006,18-24
8166,US,m,2006,18-24
8179,US,m,2006,25-34
8193,PL,m,2006,18-24
8314,US,m,2006,18-24
8403,RU,m,2006,18-24
8421,UK,f,2006,18-24
8515,BR,f,2006,25-34
8544,RU,m,2006,25-34
8545,BR,m,2006,25-34
8721,US,m,2006,25-34
8813,DE,m,2006,25-34
8817,UA,m,2006,25-34
8916,DE,m,2006,18-24
9010,BR,m,2006,18-24
9069,PL,m,2006,25-34
9128,DE,m,2007,25-34
9203,NL,m,2007,25-34
9204,PL,m,2007,18-24
9218,NL,m,2007,35-44
9306,US,m,2007,18-24
9383,RU,m,2007,25-34
9408,US,m,2007,35-44
9423,DE,m,2007,18-24
9468,UK,m,2007,25-34
9547,US,m,2007,25-34
9567,RU,m,2007,35-44
9572,PL,m,2007,35-44
9575,FI,m,2007,35-44
9634,UK,m,2007,25-34
9652,PL,m,2007,25-34
9792,US,m,2007,35-44
9864,PL,m,2007,18-24
9948,PL,m,2007,18-24
9960,RU,m,2007,18-24
9987,NL,m,2007,18-24
10013,RU,m,2007,25-34
10080,US,m,2007,18-24
10120,DE,m,2007,25-34
10190,RU,m,2007,25-34
10372,BR,m,2007,25-34
10434,DE,m,2007,18-24
10478,PL,m,2007,25-34
10539,FI,m,2007,25-34
10636,PL,m,2007,35-44
10727,NL,m,2007,25-34
10776,BR,m,2007,25-34
10865,PL,m,2007,18-24
10867,PL,m,2007,25-34
