train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
5.3356,3.4385,0.0570,0.0160,0.5714,0.5358
2.4142,2.2437,0.0932,0.0196,0.6391,0.5750
1.4996,1.6695,0.1236,0.0308,0.6908,0.6088
1.0780,1.3515,0.1650,0.0452,0.7335,0.6456
0.8507,1.1616,0.1918,0.0506,0.7652,0.6729
0.7325,1.0199,0.2258,0.0588,0.7940,0.6988
0.6483,0.9321,0.2374,0.0626,0.8136,0.7174
0.5815,0.8985,0.2824,0.0740,0.8269,0.7308
0.5327,0.8577,0.3140,0.0810,0.8448,0.7453
0.4913,0.8456,0.3340,0.0814,0.8565,0.7527
0.4516,0.8217,0.3510,0.0844,0.8684,0.7602
0.4236,0.8149,0.3740,0.0860,0.8782,0.7670
0.3929,0.7987,0.3862,0.0926,0.8875,0.7728
0.3672,0.7850,0.4308,0.1096,0.8989,0.7800
0.3448,0.7811,0.4478,0.1072,0.9035,0.7819
0.3259,0.7856,0.4714,0.1094,0.9102,0.7834
0.3074,0.7894,0.4808,0.1122,0.9156,0.7872
0.2925,0.7950,0.5074,0.1138,0.9191,0.7877
0.2773,0.8115,0.5160,0.1244,0.9234,0.7895
0.2699,0.8020,0.5302,0.1228,0.9244,0.7877
0.2603,0.8036,0.5524,0.1282,0.9300,0.7926
0.2493,0.8125,0.5548,0.1256,0.9336,0.7930
0.2381,0.8227,0.5538,0.1276,0.9345,0.7929
0.2353,0.8384,0.5730,0.1352,0.9366,0.7952
0.2308,0.8221,0.5828,0.1324,0.9377,0.7948
0.2247,0.8459,0.5764,0.1316,0.9402,0.7942
0.2191,0.8363,0.5938,0.1262,0.9423,0.7959
0.2179,0.8600,0.6098,0.1374,0.9431,0.7960
0.2108,0.8537,0.6080,0.1408,0.9417,0.7932
0.2089,0.8515,0.6268,0.1420,0.9451,0.7972
0.2096,0.8492,0.6152,0.1372,0.9460,0.7987
0.2071,0.8689,0.6154,0.1320,0.9432,0.7946
0.2032,0.8934,0.6326,0.1404,0.9436,0.7940
0.2025,0.8862,0.5990,0.1356,0.9455,0.7968
0.2038,0.8847,0.6208,0.1380,0.9483,0.7973
0.1981,0.8813,0.6242,0.1390,0.9489,0.7992
0.1982,0.8865,0.6210,0.1416,0.9490,0.7996
0.1972,0.8817,0.6446,0.1494,0.9491,0.7983
0.1968,0.8705,0.6376,0.1444,0.9505,0.8012
0.1969,0.9148,0.6348,0.1392,0.9487,0.7999
0.1956,0.9040,0.6378,0.1484,0.9477,0.7989
0.1940,0.8859,0.6396,0.1432,0.9499,0.7995
0.1880,0.8881,0.6456,0.1430,0.9511,0.8006
0.1906,0.9104,0.6424,0.1426,0.9494,0.7976
0.1887,0.8753,0.6480,0.1414,0.9517,0.8016
0.1942,0.8759,0.6396,0.1420,0.9501,0.8021
0.1898,0.8875,0.6612,0.1464,0.9517,0.8007
0.1885,0.8932,0.6530,0.1458,0.9530,0.8028
0.1898,0.8969,0.6572,0.1522,0.9520,0.8018
0.1865,0.9022,0.6420,0.1440,0.9524,0.8014
0.1863,0.8905,0.6652,0.1468,0.9525,0.8016
0.1818,0.9169,0.6526,0.1446,0.9512,0.7988
0.1823,0.9325,0.6460,0.1458,0.9514,0.8010
0.1861,0.9215,0.6660,0.1490,0.9514,0.8011
0.1852,0.9235,0.6758,0.1450,0.9510,0.7986
0.1912,0.9154,0.6730,0.1448,0.9528,0.8012
0.1856,0.9044,0.6516,0.1410,0.9526,0.8030
0.1802,0.9210,0.6418,0.1432,0.9524,0.8023
0.1890,0.9152,0.6584,0.1512,0.9534,0.8014
0.1860,0.9350,0.6710,0.1558,0.9528,0.8010
0.1818,0.8898,0.6614,0.1422,0.9533,0.8025
0.1815,0.9016,0.6562,0.1510,0.9539,0.8039
0.1853,0.9391,0.6676,0.1548,0.9527,0.8014
0.1817,0.8989,0.6508,0.1524,0.9531,0.8020
0.1812,0.9060,0.6834,0.1576,0.9531,0.8006
0.1768,0.9119,0.6696,0.1624,0.9530,0.8028
0.1784,0.9008,0.6524,0.1526,0.9529,0.8033
0.1816,0.8924,0.6626,0.1622,0.9549,0.8059
0.1803,0.8923,0.6690,0.1574,0.9543,0.8041
0.1793,0.9190,0.6752,0.1618,0.9539,0.8060
0.1830,0.8971,0.6654,0.1498,0.9541,0.8043
0.1792,0.8830,0.6630,0.1610,0.9555,0.8074
0.1773,0.9040,0.6780,0.1622,0.9549,0.8060
0.1758,0.8879,0.6802,0.1570,0.9550,0.8052
0.1768,0.8945,0.6620,0.1502,0.9543,0.8042
0.1824,0.9061,0.6790,0.1608,0.9552,0.8063
0.1800,0.9169,0.6766,0.1492,0.9541,0.8038
0.1820,0.8935,0.6756,0.1544,0.9553,0.8044
0.1780,0.9112,0.6672,0.1508,0.9538,0.8043
0.1782,0.9123,0.6634,0.1490,0.9554,0.8065
0.1769,0.9097,0.6802,0.1404,0.9542,0.8021
0.1765,0.9171,0.6794,0.1512,0.9545,0.8048
0.1780,0.9131,0.6830,0.1564,0.9548,0.8050
0.1759,0.9041,0.6870,0.1510,0.9561,0.8069
0.1778,0.9172,0.6658,0.1426,0.9544,0.8060
0.1751,0.9113,0.6850,0.1532,0.9549,0.8048
0.1773,0.9176,0.7028,0.1540,0.9553,0.8048
0.1781,0.9049,0.6810,0.1530,0.9545,0.8044
0.1770,0.9181,0.6884,0.1540,0.9556,0.8055
0.1788,0.9231,0.6790,0.1540,0.9547,0.8041
0.1748,0.9172,0.6624,0.1572,0.9562,0.8056
0.1685,0.9404,0.6570,0.1544,0.9535,0.8043
0.1808,0.9118,0.6628,0.1524,0.9556,0.8056
0.1832,0.9129,0.6852,0.1580,0.9550,0.8049
0.1745,0.9105,0.6740,0.1526,0.9554,0.8058
0.1790,0.9105,0.6924,0.1654,0.9557,0.8048
0.1771,0.8993,0.6840,0.1548,0.9568,0.8083
0.1740,0.9396,0.6750,0.1536,0.9528,0.8039
0.1801,0.9235,0.6954,0.1592,0.9569,0.8074
0.1745,0.9046,0.6780,0.1580,0.9564,0.8061
