train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
7.8825,6.1620,0.0106,0.0470,0.5432,0.5115
4.7582,4.8091,0.0112,0.0474,0.5858,0.5208
3.4180,4.1957,0.0144,0.0486,0.6237,0.5275
2.5703,3.7185,0.0154,0.0576,0.6559,0.5318
2.1008,3.4436,0.0188,0.0566,0.6863,0.5367
1.6814,3.2356,0.0198,0.0610,0.7137,0.5410
1.3928,3.0500,0.0206,0.0638,0.7370,0.5472
1.1902,2.9025,0.0188,0.0662,0.7592,0.5516
1.0400,2.7926,0.0208,0.0682,0.7789,0.5554
0.8958,2.6990,0.0236,0.0746,0.7950,0.5599
0.8096,2.5902,0.0266,0.0766,0.8150,0.5653
0.7260,2.5284,0.0286,0.0768,0.8259,0.5677
0.6645,2.4596,0.0280,0.0786,0.8400,0.5717
0.6010,2.4269,0.0314,0.0830,0.8496,0.5734
0.5397,2.3686,0.0294,0.0828,0.8593,0.5756
0.5111,2.3267,0.0342,0.0904,0.8695,0.5797
0.4693,2.2609,0.0358,0.0902,0.8787,0.5815
0.4191,2.2453,0.0398,0.0906,0.8839,0.5834
0.3951,2.2389,0.0430,0.0912,0.8903,0.5870
0.3847,2.2090,0.0428,0.0930,0.8968,0.5891
0.3628,2.1849,0.0498,0.1026,0.9033,0.5933
0.3376,2.1650,0.0492,0.0946,0.9087,0.5936
0.3092,2.1521,0.0514,0.1020,0.9131,0.5950
0.2991,2.1589,0.0572,0.1006,0.9166,0.5967
0.2813,2.1200,0.0580,0.0992,0.9225,0.5984
0.2711,2.1212,0.0596,0.0990,0.9259,0.5977
0.2553,2.1057,0.0608,0.1026,0.9301,0.6011
0.2366,2.0927,0.0592,0.1032,0.9340,0.6032
0.2297,2.1060,0.0736,0.1068,0.9374,0.6041
0.2175,2.0860,0.0780,0.1042,0.9391,0.6054
0.2123,2.0792,0.0800,0.1044,0.9421,0.6059
0.2085,2.0704,0.0890,0.1020,0.9447,0.6081
0.1925,2.0623,0.0954,0.1138,0.9466,0.6094
0.1839,2.0358,0.0960,0.1088,0.9510,0.6112
0.1766,2.0552,0.1098,0.1186,0.9506,0.6115
0.1666,2.0604,0.1154,0.1122,0.9533,0.6123
0.1596,2.0435,0.1210,0.1182,0.9555,0.6140
0.1575,2.0553,0.1262,0.1128,0.9566,0.6146
0.1575,2.0305,0.1406,0.1162,0.9594,0.6164
0.1489,2.0445,0.1430,0.1180,0.9609,0.6180
0.1413,2.0416,0.1574,0.1158,0.9605,0.6172
0.1380,2.0322,0.1596,0.1172,0.9626,0.6178
0.1385,2.0565,0.1754,0.1214,0.9630,0.6200
0.1284,2.0440,0.1824,0.1190,0.9644,0.6187
0.1285,2.0324,0.1858,0.1234,0.9668,0.6218
0.1218,2.0330,0.2004,0.1202,0.9676,0.6215
0.1194,2.0067,0.2112,0.1252,0.9695,0.6221
0.1169,2.0435,0.2136,0.1278,0.9697,0.6245
0.1110,2.0177,0.2274,0.1284,0.9724,0.6256
0.1097,2.0081,0.2420,0.1248,0.9721,0.6249
0.1082,2.0202,0.2456,0.1294,0.9731,0.6269
0.0999,2.0316,0.2536,0.1310,0.9728,0.6271
0.0957,2.0142,0.2770,0.1250,0.9739,0.6250
0.0942,1.9945,0.2774,0.1320,0.9759,0.6289
0.0921,2.0109,0.2758,0.1318,0.9756,0.6280
0.0923,2.0231,0.2836,0.1318,0.9764,0.6297
0.0946,2.0231,0.3042,0.1346,0.9773,0.6296
0.0855,2.0258,0.3030,0.1264,0.9771,0.6305
0.0923,2.0098,0.3240,0.1290,0.9782,0.6292
0.0858,2.0081,0.3268,0.1262,0.9774,0.6299
0.0861,1.9947,0.3422,0.1354,0.9795,0.6325
0.0809,1.9889,0.3394,0.1392,0.9803,0.6348
0.0820,2.0306,0.3586,0.1350,0.9788,0.6312
0.0757,2.0147,0.3648,0.1302,0.9798,0.6320
0.0786,1.9842,0.3784,0.1318,0.9816,0.6333
0.0687,1.9918,0.3882,0.1380,0.9815,0.6327
0.0719,2.0103,0.3930,0.1312,0.9817,0.6338
0.0722,2.0183,0.4042,0.1386,0.9811,0.6325
0.0744,2.0057,0.4074,0.1396,0.9819,0.6347
0.0743,2.0070,0.4324,0.1338,0.9820,0.6322
0.0704,2.0097,0.4254,0.1384,0.9823,0.6361
0.0688,1.9935,0.4282,0.1502,0.9830,0.6368
0.0695,2.0024,0.4388,0.1410,0.9827,0.6355
0.0660,2.0029,0.4656,0.1456,0.9827,0.6347
0.0677,1.9966,0.4632,0.1474,0.9835,0.6375
0.0598,1.9891,0.4906,0.1430,0.9840,0.6351
0.0660,2.0022,0.4756,0.1376,0.9841,0.6358
0.0617,2.0134,0.4814,0.1408,0.9835,0.6336
0.0648,2.0302,0.4810,0.1464,0.9835,0.6331
0.0607,2.0110,0.4958,0.1478,0.9848,0.6351
0.0613,2.0310,0.4970,0.1458,0.9843,0.6358
0.0631,1.9931,0.5066,0.1540,0.9858,0.6372
0.0576,2.0099,0.5058,0.1432,0.9844,0.6376
0.0607,2.0176,0.5022,0.1530,0.9843,0.6374
0.0569,1.9934,0.5204,0.1464,0.9859,0.6402
0.0587,2.0062,0.5218,0.1496,0.9855,0.6373
0.0557,1.9973,0.5332,0.1560,0.9858,0.6372
0.0611,2.0196,0.5292,0.1506,0.9851,0.6377
0.0588,2.0099,0.5378,0.1498,0.9853,0.6381
0.0611,2.0159,0.5334,0.1496,0.9851,0.6412
0.0575,2.0174,0.5366,0.1544,0.9852,0.6411
0.0531,1.9857,0.5494,0.1510,0.9864,0.6405
0.0560,2.0124,0.5624,0.1456,0.9863,0.6364
0.0554,1.9696,0.5532,0.1510,0.9873,0.6440
0.0498,1.9951,0.5590,0.1540,0.9872,0.6421
0.0579,1.9831,0.5710,0.1562,0.9873,0.6435
0.0544,1.9818,0.5742,0.1594,0.9870,0.6420
0.0585,2.0160,0.5624,0.1500,0.9860,0.6410
0.0536,1.9950,0.5572,0.1540,0.9866,0.6445
0.0560,2.0303,0.5834,0.1546,0.9863,0.6391
