train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
4.2206,3.1556,0.0460,0.0148,0.5710,0.5290
2.2291,2.1747,0.0852,0.0232,0.6396,0.5647
1.3930,1.6115,0.1206,0.0344,0.6991,0.6058
1.0091,1.3035,0.1582,0.0402,0.7403,0.6419
0.8081,1.1270,0.2016,0.0540,0.7722,0.6720
0.6948,1.0079,0.2316,0.0590,0.7970,0.6962
0.6246,0.9368,0.2620,0.0646,0.8182,0.7164
0.5559,0.8829,0.2872,0.0698,0.8358,0.7330
0.5103,0.8550,0.3256,0.0828,0.8508,0.7445
0.4665,0.8381,0.3578,0.0848,0.8648,0.7539
0.4314,0.8363,0.3762,0.0912,0.8739,0.7591
0.4024,0.8052,0.3842,0.0948,0.8861,0.7660
0.3681,0.8054,0.4188,0.0954,0.8955,0.7721
0.3447,0.7933,0.4358,0.1098,0.9018,0.7744
0.3229,0.7901,0.4664,0.1108,0.9088,0.7787
0.3072,0.7894,0.4894,0.1120,0.9162,0.7823
0.2916,0.7967,0.5028,0.1086,0.9179,0.7819
0.2725,0.8136,0.5132,0.1154,0.9243,0.7865
0.2594,0.8017,0.5470,0.1274,0.9285,0.7890
0.2540,0.8003,0.5412,0.1196,0.9304,0.7884
0.2435,0.8166,0.5486,0.1288,0.9341,0.7910
0.2326,0.8202,0.5794,0.1294,0.9358,0.7905
0.2290,0.7969,0.5642,0.1288,0.9396,0.7925
0.2212,0.8181,0.5764,0.1246,0.9391,0.7924
0.2164,0.8337,0.5942,0.1300,0.9402,0.7917
0.2117,0.8634,0.5936,0.1324,0.9429,0.7937
0.2087,0.8400,0.5890,0.1234,0.9426,0.7928
0.2082,0.8426,0.6138,0.1418,0.9440,0.7952
0.2030,0.8519,0.6198,0.1392,0.9438,0.7939
0.2003,0.8421,0.6282,0.1516,0.9464,0.7961
0.1986,0.8573,0.5940,0.1368,0.9458,0.7963
0.1992,0.8546,0.6262,0.1518,0.9474,0.7988
0.1940,0.8569,0.6300,0.1584,0.9487,0.7984
0.1882,0.8307,0.6304,0.1498,0.9506,0.8003
0.1933,0.8766,0.6322,0.1500,0.9488,0.7970
0.1869,0.8451,0.6288,0.1450,0.9514,0.8004
0.1891,0.8620,0.6376,0.1490,0.9510,0.7999
0.1879,0.8743,0.6572,0.1536,0.9512,0.7998
0.1893,0.8692,0.6704,0.1514,0.9498,0.7967
0.1862,0.8895,0.6456,0.1506,0.9494,0.7978
0.1836,0.8635,0.6424,0.1456,0.9512,0.8008
0.1812,0.8649,0.6558,0.1588,0.9524,0.8008
0.1811,0.8861,0.6490,0.1536,0.9531,0.8014
0.1856,0.8825,0.6396,0.1448,0.9516,0.7980
0.1835,0.8708,0.6428,0.1522,0.9523,0.8012
0.1860,0.8477,0.6606,0.1528,0.9543,0.8028
0.1799,0.8692,0.6500,0.1414,0.9528,0.8003
0.1791,0.8799,0.6666,0.1522,0.9537,0.8007
0.1796,0.8781,0.6546,0.1612,0.9539,0.8034
0.1755,0.8981,0.6564,0.1616,0.9518,0.7998
0.1818,0.8748,0.6622,0.1542,0.9518,0.7989
0.1749,0.8873,0.6478,0.1544,0.9533,0.8020
0.1758,0.8801,0.6716,0.1602,0.9536,0.8010
0.1765,0.8755,0.6628,0.1576,0.9543,0.8006
0.1772,0.8749,0.6660,0.1512,0.9533,0.8013
0.1758,0.8557,0.6650,0.1678,0.9552,0.8036
0.1744,0.8686,0.6626,0.1584,0.9541,0.8033
0.1758,0.8824,0.6574,0.1566,0.9531,0.8003
0.1790,0.8815,0.6452,0.1574,0.9536,0.8027
0.1773,0.8690,0.6698,0.1642,0.9555,0.8032
0.1701,0.8715,0.6620,0.1616,0.9553,0.8039
0.1732,0.8697,0.6742,0.1586,0.9552,0.8026
0.1807,0.8708,0.6732,0.1532,0.9558,0.8035
0.1725,0.8699,0.6674,0.1562,0.9545,0.8013
0.1788,0.8904,0.6704,0.1506,0.9538,0.8018
0.1721,0.8591,0.6864,0.1704,0.9549,0.8037
0.1727,0.8727,0.6782,0.1572,0.9555,0.8047
0.1703,0.8622,0.6808,0.1668,0.9571,0.8040
0.1718,0.8551,0.6744,0.1654,0.9572,0.8063
0.1650,0.8941,0.6644,0.1634,0.9560,0.8036
0.1706,0.8590,0.6830,0.1652,0.9561,0.8041
0.1693,0.8615,0.6754,0.1682,0.9561,0.8058
0.1742,0.8723,0.6684,0.1606,0.9554,0.8038
0.1715,0.8928,0.6722,0.1584,0.9558,0.8051
0.1719,0.8693,0.6784,0.1686,0.9561,0.8047
0.1764,0.8824,0.6820,0.1652,0.9554,0.8034
0.1702,0.8921,0.6790,0.1626,0.9550,0.8044
0.1684,0.8752,0.6798,0.1576,0.9566,0.8068
0.1695,0.8747,0.6762,0.1582,0.9570,0.8068
0.1670,0.8660,0.6768,0.1548,0.9568,0.8059
0.1710,0.8763,0.6864,0.1700,0.9571,0.8049
0.1677,0.8790,0.6728,0.1558,0.9565,0.8052
0.1724,0.8855,0.6936,0.1590,0.9565,0.8047
0.1668,0.8809,0.6936,0.1646,0.9559,0.8043
0.1701,0.8948,0.6858,0.1602,0.9562,0.8047
0.1689,0.8947,0.6744,0.1616,0.9547,0.8037
0.1693,0.9027,0.6758,0.1596,0.9568,0.8055
0.1692,0.8883,0.6770,0.1640,0.9561,0.8045
0.1713,0.8852,0.6912,0.1616,0.9564,0.8044
0.1722,0.8891,0.6838,0.1614,0.9562,0.8053
0.1668,0.8979,0.6874,0.1742,0.9576,0.8069
0.1658,0.9124,0.6720,0.1566,0.9557,0.8044
0.1685,0.8774,0.6760,0.1578,0.9567,0.8064
0.1725,0.8833,0.6904,0.1616,0.9565,0.8047
0.1661,0.8753,0.6766,0.1630,0.9567,0.8061
0.1669,0.8681,0.6950,0.1668,0.9577,0.8059
0.1719,0.8991,0.6634,0.1538,0.9561,0.8058
0.1665,0.8723,0.6880,0.1634,0.9587,0.8081
0.1694,0.9014,0.6800,0.1582,0.9563,0.8048
0.1679,0.8899,0.6732,0.1606,0.9573,0.8067
