train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
3.0803,2.0239,0.0434,0.0138,0.5645,0.5247
1.7739,1.5705,0.0840,0.0230,0.6188,0.5505
1.2867,1.3493,0.1204,0.0298,0.6643,0.5745
1.0402,1.2112,0.1534,0.0310,0.7040,0.6014
0.8692,1.0699,0.1902,0.0440,0.7493,0.6430
0.7343,0.9386,0.2430,0.0610,0.7899,0.6846
0.6374,0.8847,0.2822,0.0674,0.8163,0.7096
0.5604,0.8399,0.3002,0.0736,0.8369,0.7278
0.5037,0.7975,0.3398,0.0830,0.8556,0.7460
0.4560,0.7832,0.3526,0.0844,0.8691,0.7534
0.4168,0.7621,0.3890,0.0930,0.8820,0.7629
0.3820,0.7550,0.4244,0.1030,0.8928,0.7703
0.3477,0.7387,0.4426,0.1078,0.9026,0.7769
0.3216,0.7367,0.4760,0.1054,0.9099,0.7789
0.2977,0.7327,0.4988,0.1140,0.9172,0.7846
0.2821,0.7318,0.5174,0.1136,0.9229,0.7862
0.2644,0.7385,0.5354,0.1208,0.9284,0.7916
0.2485,0.7434,0.5528,0.1222,0.9323,0.7922
0.2348,0.7383,0.5736,0.1288,0.9360,0.7939
0.2270,0.7392,0.5696,0.1246,0.9391,0.7956
0.2152,0.7443,0.5820,0.1266,0.9413,0.7950
0.2082,0.7482,0.5888,0.1282,0.9440,0.7973
0.2007,0.7538,0.5976,0.1274,0.9453,0.7958
0.1942,0.7587,0.6028,0.1340,0.9476,0.7971
0.1911,0.7557,0.6132,0.1368,0.9488,0.7994
0.1853,0.7810,0.6090,0.1416,0.9500,0.7977
0.1837,0.7531,0.6186,0.1368,0.9511,0.7997
0.1784,0.7553,0.6272,0.1432,0.9523,0.8024
0.1761,0.7608,0.6320,0.1412,0.9531,0.8030
0.1733,0.7528,0.6398,0.1482,0.9539,0.8042
0.1693,0.7692,0.6434,0.1496,0.9544,0.8035
0.1685,0.7535,0.6434,0.1538,0.9548,0.8037
