train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
3.9981,3.2045,0.0104,0.0374,0.5514,0.5048
2.7512,2.6927,0.0094,0.0416,0.5954,0.5100
2.1164,2.5657,0.0106,0.0402,0.6319,0.5129
1.7518,2.3735,0.0148,0.0432,0.6691,0.5197
1.4468,2.2786,0.0158,0.0524,0.7018,0.5230
1.2234,2.1552,0.0220,0.0556,0.7324,0.5298
1.0647,2.1932,0.0186,0.0600,0.7527,0.5292
0.9211,2.0849,0.0264,0.0650,0.7780,0.5344
0.8149,2.0792,0.0248,0.0612,0.7959,0.5363
0.7323,2.0058,0.0256,0.0644,0.8147,0.5404
0.6661,2.0813,0.0254,0.0634,0.8262,0.5384
0.5936,2.0276,0.0320,0.0718,0.8418,0.5423
0.5377,2.0620,0.0288,0.0642,0.8513,0.5402
0.5108,2.0452,0.0320,0.0702,0.8638,0.5439
0.4681,2.0443,0.0340,0.0702,0.8733,0.5450
0.4314,2.0558,0.0328,0.0682,0.8824,0.5450
0.3993,2.0681,0.0408,0.0740,0.8904,0.5469
0.3720,2.0582,0.0450,0.0686,0.8977,0.5482
0.3449,2.0672,0.0436,0.0708,0.9049,0.5484
0.3191,2.0087,0.0526,0.0834,0.9125,0.5553
0.3131,2.0582,0.0494,0.0734,0.9176,0.5533
0.2790,2.0774,0.0514,0.0750,0.9222,0.5523
0.2652,2.0902,0.0542,0.0758,0.9273,0.5541
0.2513,2.0807,0.0578,0.0810,0.9323,0.5564
0.2390,2.0922,0.0594,0.0818,0.9360,0.5564
0.2166,2.0944,0.0650,0.0866,0.9401,0.5585
0.2110,2.0982,0.0726,0.0822,0.9433,0.5595
0.1959,2.0949,0.0814,0.0802,0.9462,0.5602
0.1867,2.0831,0.0844,0.0846,0.9499,0.5632
0.1798,2.1015,0.0920,0.0840,0.9527,0.5632
0.1729,2.1111,0.1006,0.0866,0.9550,0.5641
0.1626,2.0924,0.1018,0.0884,0.9574,0.5667
0.1597,2.1028,0.1160,0.0888,0.9595,0.5675
0.1442,2.1329,0.1254,0.0888,0.9608,0.5659
0.1372,2.1219,0.1324,0.0916,0.9633,0.5697
0.1334,2.1310,0.1462,0.0888,0.9645,0.5685
0.1263,2.1399,0.1522,0.0890,0.9663,0.5694
0.1243,2.1144,0.1592,0.0936,0.9681,0.5718
0.1183,2.1263,0.1732,0.0956,0.9693,0.5723
0.1128,2.1169,0.1760,0.1012,0.9709,0.5744
0.1062,2.1526,0.1836,0.0962,0.9716,0.5732
0.1017,2.1368,0.1888,0.0940,0.9731,0.5750
0.0988,2.1144,0.1940,0.1014,0.9743,0.5786
0.0984,2.1176,0.2126,0.0974,0.9749,0.5778
0.0986,2.1034,0.2148,0.0998,0.9763,0.5808
0.0903,2.0981,0.2358,0.1018,0.9770,0.5811
0.0878,2.1137,0.2500,0.1004,0.9777,0.5813
0.0864,2.1026,0.2642,0.1024,0.9784,0.5830
0.0835,2.0980,0.2724,0.1060,0.9792,0.5853
0.0833,2.1130,0.2866,0.0998,0.9795,0.5827
0.0796,2.1060,0.2974,0.1020,0.9802,0.5840
0.0779,2.1057,0.3116,0.1036,0.9809,0.5852
0.0693,2.0950,0.3182,0.1076,0.9815,0.5866
0.0734,2.1185,0.3330,0.1010,0.9815,0.5847
