train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
4.3111,2.7190,0.0412,0.0138,0.5533,0.5153
2.0938,1.8510,0.0696,0.0186,0.6044,0.5400
1.4279,1.4897,0.1098,0.0278,0.6509,0.5661
1.1312,1.3219,0.1522,0.0350,0.6872,0.5884
0.9440,1.1948,0.1608,0.0404,0.7237,0.6160
0.8088,1.0529,0.2284,0.0490,0.7659,0.6562
0.6925,0.9636,0.2516,0.0584,0.7995,0.6892
0.5923,0.8687,0.2980,0.0744,0.8293,0.7210
0.5234,0.8188,0.3278,0.0772,0.8504,0.7415
0.4673,0.7901,0.3532,0.0836,0.8653,0.7529
0.4273,0.7657,0.3806,0.0898,0.8780,0.7624
0.3926,0.7531,0.4042,0.0958,0.8883,0.7709
0.3632,0.7464,0.4310,0.1024,0.8974,0.7756
0.3368,0.7382,0.4566,0.1066,0.9058,0.7823
0.3098,0.7259,0.4702,0.1066,0.9130,0.7853
0.2914,0.7324,0.4944,0.1146,0.9189,0.7873
0.2754,0.7311,0.5238,0.1166,0.9242,0.7921
0.2592,0.7360,0.5326,0.1224,0.9286,0.7932
0.2425,0.7537,0.5452,0.1210,0.9322,0.7952
0.2353,0.7338,0.5644,0.1298,0.9357,0.7973
0.2271,0.7404,0.5822,0.1374,0.9385,0.7977
0.2191,0.7533,0.6004,0.1338,0.9413,0.7990
0.2086,0.7483,0.5888,0.1260,0.9435,0.8003
0.2051,0.7544,0.6008,0.1322,0.9453,0.8013
0.1976,0.7663,0.6168,0.1328,0.9465,0.8000
0.1933,0.7790,0.6052,0.1364,0.9477,0.8009
0.1928,0.7753,0.6204,0.1346,0.9485,0.8010
0.1858,0.7652,0.6294,0.1396,0.9500,0.8030
0.1824,0.7744,0.6274,0.1338,0.9503,0.8007
0.1823,0.7752,0.6350,0.1384,0.9511,0.8035
0.1772,0.7758,0.6434,0.1396,0.9521,0.8037
0.1800,0.7803,0.6422,0.1412,0.9527,0.8038
0.1741,0.7851,0.6492,0.1386,0.9531,0.8042
0.1740,0.7813,0.6484,0.1444,0.9541,0.8045
0.1748,0.8025,0.6434,0.1470,0.9541,0.8043
0.1738,0.8054,0.6496,0.1418,0.9546,0.8037
0.1711,0.8040,0.6434,0.1434,0.9548,0.8051
0.1706,0.8116,0.6568,0.1456,0.9551,0.8046
0.1690,0.7951,0.6578,0.1490,0.9556,0.8058
0.1677,0.8055,0.6736,0.1468,0.9553,0.8048
0.1673,0.8071,0.6618,0.1474,0.9558,0.8048
0.1656,0.8010,0.6596,0.1434,0.9562,0.8054
0.1645,0.8073,0.6604,0.1484,0.9565,0.8065
0.1672,0.8276,0.6728,0.1478,0.9563,0.8044
0.1632,0.8048,0.6586,0.1498,0.9567,0.8077
0.1659,0.8076,0.6618,0.1402,0.9566,0.8061
0.1643,0.7992,0.6656,0.1444,0.9566,0.8065
0.1638,0.8039,0.6706,0.1536,0.9569,0.8069
0.1660,0.8156,0.6690,0.1474,0.9570,0.8058
