train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
3.7416,3.0726,0.0322,0.0128,0.5530,0.5066
2.1414,2.1449,0.0450,0.0138,0.6091,0.5251
1.3602,1.6235,0.0694,0.0210,0.6633,0.5561
1.0077,1.3251,0.1170,0.0302,0.7121,0.5942
0.8169,1.1456,0.1808,0.0426,0.7571,0.6344
0.6873,1.0074,0.2432,0.0566,0.7955,0.6719
0.5959,0.9277,0.2860,0.0700,0.8255,0.7025
0.5176,0.8666,0.3200,0.0806,0.8481,0.7248
0.4636,0.8233,0.3486,0.0882,0.8658,0.7405
0.4160,0.8016,0.3762,0.0908,0.8801,0.7521
0.3778,0.7819,0.3966,0.0970,0.8922,0.7613
0.3474,0.7685,0.4214,0.0986,0.9023,0.7686
0.3155,0.7596,0.4496,0.1062,0.9110,0.7745
0.2916,0.7495,0.4790,0.1098,0.9184,0.7794
0.2713,0.7400,0.5098,0.1178,0.9245,0.7834
0.2571,0.7377,0.5254,0.1222,0.9296,0.7858
0.2419,0.7523,0.5366,0.1248,0.9339,0.7879
0.2305,0.7546,0.5534,0.1290,0.9372,0.7902
0.2185,0.7509,0.5770,0.1354,0.9403,0.7921
0.2131,0.7528,0.5766,0.1366,0.9428,0.7934
0.2034,0.7566,0.5876,0.1322,0.9448,0.7944
0.1993,0.7590,0.5928,0.1282,0.9465,0.7957
0.1913,0.7562,0.6064,0.1336,0.9480,0.7963
0.1845,0.7711,0.6120,0.1384,0.9496,0.7967
0.1843,0.7665,0.6180,0.1398,0.9508,0.7969
0.1811,0.7802,0.6290,0.1354,0.9516,0.7977
0.1802,0.7625,0.6284,0.1360,0.9523,0.7983
0.1757,0.7750,0.6298,0.1390,0.9531,0.7995
0.1746,0.7834,0.6284,0.1344,0.9536,0.8001
0.1702,0.7754,0.6360,0.1478,0.9544,0.8009
0.1677,0.7764,0.6394,0.1484,0.9548,0.8008
0.1679,0.7771,0.6382,0.1494,0.9550,0.8012
0.1659,0.7793,0.6398,0.1528,0.9555,0.8020
0.1639,0.7831,0.6434,0.1526,0.9561,0.8025
0.1658,0.8021,0.6444,0.1486,0.9565,0.8022
0.1632,0.7960,0.6464,0.1536,0.9566,0.8025
0.1624,0.7923,0.6510,0.1502,0.9568,0.8031
0.1634,0.7971,0.6598,0.1558,0.9572,0.8031
0.1602,0.7949,0.6620,0.1566,0.9574,0.8032
0.1612,0.7975,0.6694,0.1596,0.9577,0.8039
0.1609,0.7953,0.6702,0.1596,0.9580,0.8037
0.1550,0.8110,0.6718,0.1590,0.9582,0.8041
0.1544,0.8002,0.6728,0.1546,0.9582,0.8045
0.1585,0.8000,0.6750,0.1624,0.9583,0.8042
0.1594,0.8032,0.6782,0.1526,0.9585,0.8053
0.1589,0.7974,0.6736,0.1562,0.9586,0.8052
0.1558,0.7814,0.6672,0.1530,0.9587,0.8049
0.1546,0.8031,0.6748,0.1554,0.9589,0.8049
0.1556,0.7962,0.6728,0.1578,0.9592,0.8055
0.1529,0.8044,0.6672,0.1610,0.9593,0.8061
0.1560,0.7822,0.6660,0.1588,0.9594,0.8058
0.1534,0.7838,0.6806,0.1536,0.9597,0.8063
0.1512,0.8063,0.6740,0.1606,0.9597,0.8063
0.1533,0.8042,0.6764,0.1538,0.9598,0.8058
0.1524,0.7927,0.6734,0.1564,0.9598,0.8065
0.1523,0.7960,0.6758,0.1586,0.9600,0.8064
0.1516,0.7762,0.6778,0.1548,0.9603,0.8074
0.1513,0.7960,0.6772,0.1576,0.9601,0.8072
0.1555,0.7883,0.6764,0.1550,0.9601,0.8064
0.1530,0.8009,0.6850,0.1518,0.9602,0.8063
0.1512,0.7828,0.6848,0.1560,0.9603,0.8071
0.1487,0.7925,0.6860,0.1586,0.9604,0.8070
0.1546,0.8084,0.6734,0.1618,0.9604,0.8068
0.1512,0.7873,0.6878,0.1672,0.9605,0.8068
0.1515,0.7826,0.6860,0.1668,0.9605,0.8077
0.1489,0.7748,0.6802,0.1632,0.9607,0.8081
0.1489,0.8001,0.6860,0.1614,0.9609,0.8085
0.1462,0.7805,0.6860,0.1620,0.9610,0.8079
0.1468,0.7773,0.6932,0.1696,0.9610,0.8075
0.1463,0.8180,0.6856,0.1652,0.9610,0.8075
0.1488,0.7867,0.6842,0.1606,0.9608,0.8071
0.1490,0.7848,0.6824,0.1636,0.9609,0.8081
0.1482,0.7979,0.6934,0.1684,0.9611,0.8090
0.1470,0.8060,0.6908,0.1658,0.9611,0.8086
0.1471,0.7887,0.6860,0.1662,0.9610,0.8087
0.1497,0.7890,0.6884,0.1628,0.9611,0.8089
0.1501,0.7963,0.6876,0.1684,0.9612,0.8094
0.1463,0.7906,0.6854,0.1670,0.9612,0.8087
0.1447,0.7916,0.6900,0.1656,0.9614,0.8082
0.1464,0.7932,0.6910,0.1646,0.9615,0.8086
0.1466,0.7966,0.6926,0.1690,0.9614,0.8083
0.1484,0.7874,0.6896,0.1678,0.9615,0.8093
0.1467,0.7935,0.6970,0.1636,0.9615,0.8095
0.1445,0.7847,0.6932,0.1584,0.9614,0.8093
0.1477,0.8008,0.6924,0.1530,0.9615,0.8103
0.1484,0.7924,0.6962,0.1514,0.9616,0.8100
0.1463,0.8116,0.6880,0.1546,0.9617,0.8093
0.1465,0.8037,0.6888,0.1588,0.9617,0.8091
0.1475,0.8037,0.6966,0.1548,0.9616,0.8092
