train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
5.2988,3.4167,0.0572,0.0154,0.5712,0.5358
2.4114,2.2551,0.0874,0.0222,0.6340,0.5709
1.5033,1.6623,0.1258,0.0312,0.6910,0.6092
1.0763,1.3331,0.1538,0.0430,0.7335,0.6449
0.8483,1.1400,0.2016,0.0560,0.7677,0.6747
0.7310,1.0209,0.2320,0.0604,0.7927,0.6980
0.6507,0.9501,0.2442,0.0628,0.8073,0.7141
0.5809,0.8951,0.2826,0.0752,0.8293,0.7323
0.5355,0.8635,0.2982,0.0756,0.8431,0.7430
0.4897,0.8434,0.3306,0.0848,0.8575,0.7541
0.4486,0.8060,0.3444,0.0876,0.8711,0.7629
0.4254,0.8005,0.3722,0.0878,0.8787,0.7685
0.3950,0.7891,0.4010,0.0950,0.8889,0.7740
0.3710,0.8003,0.4266,0.1026,0.8924,0.7744
0.3448,0.7673,0.4430,0.1048,0.9041,0.7829
0.3237,0.7809,0.4656,0.1082,0.9096,0.7835
0.3098,0.8081,0.4926,0.1162,0.9117,0.7838
0.2883,0.8082,0.4876,0.1152,0.9173,0.7862
0.2762,0.8047,0.5342,0.1254,0.9252,0.7917
0.2677,0.7991,0.5322,0.1262,0.9284,0.7918
0.2598,0.8146,0.5348,0.1266,0.9282,0.7905
0.2474,0.8204,0.5602,0.1334,0.9326,0.7932
0.2383,0.8349,0.5420,0.1274,0.9342,0.7929
0.2342,0.8471,0.5726,0.1282,0.9362,0.7932
0.2315,0.8218,0.5890,0.1326,0.9402,0.7966
0.2216,0.8647,0.5828,0.1266,0.9380,0.7935
0.2206,0.8378,0.6006,0.1314,0.9430,0.7966
0.2167,0.8457,0.6136,0.1332,0.9434,0.7963
0.2120,0.8481,0.6154,0.1402,0.9439,0.7949
0.2067,0.8729,0.6268,0.1386,0.9440,0.7951
0.2092,0.8692,0.6202,0.1378,0.9434,0.7954
0.2074,0.8646,0.6318,0.1460,0.9457,0.7963
0.1992,0.8738,0.6274,0.1376,0.9461,0.7952
0.1987,0.8759,0.6304,0.1416,0.9465,0.7958
0.2038,0.8905,0.6218,0.1418,0.9483,0.7999
0.1958,0.8724,0.6288,0.1406,0.9505,0.8001
0.2002,0.8917,0.6164,0.1398,0.9485,0.7987
0.1942,0.9128,0.6440,0.1436,0.9481,0.7969
0.1935,0.8894,0.6376,0.1356,0.9482,0.7973
0.1969,0.9097,0.6382,0.1452,0.9484,0.7995
0.1929,0.8590,0.6410,0.1444,0.9521,0.8041
0.1865,0.8792,0.6498,0.1476,0.9510,0.8016
0.1896,0.8859,0.6490,0.1470,0.9520,0.8018
0.1895,0.8871,0.6664,0.1474,0.9513,0.8004
0.1874,0.8980,0.6478,0.1422,0.9516,0.8015
0.1932,0.8823,0.6588,0.1444,0.9515,0.8009
0.1920,0.8895,0.6470,0.1438,0.9509,0.8006
0.1890,0.9166,0.6594,0.1422,0.9504,0.7993
0.1886,0.8928,0.6548,0.1418,0.9518,0.8015
0.1828,0.9046,0.6530,0.1426,0.9505,0.7992
0.1897,0.9041,0.6418,0.1378,0.9508,0.8006
0.1899,0.9329,0.6564,0.1436,0.9493,0.7972
0.1853,0.9111,0.6578,0.1500,0.9530,0.8021
0.1835,0.8892,0.6612,0.1442,0.9540,0.8040
0.1820,0.8938,0.6542,0.1422,0.9537,0.8038
