train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
10.0797,7.5773,0.0392,0.0104,0.5071,0.5044
6.0337,5.0264,0.0464,0.0112,0.5151,0.5102
4.2608,3.6715,0.0492,0.0112,0.5240,0.5165
3.1250,2.7363,0.0534,0.0124,0.5330,0.5229
2.3051,2.0850,0.0560,0.0136,0.5430,0.5302
1.7558,1.6165,0.0590,0.0154,0.5564,0.5404
1.3952,1.3085,0.0650,0.0172,0.5723,0.5530
1.1623,1.1398,0.0712,0.0204,0.5920,0.5691
1.0367,1.0340,0.0794,0.0220,0.6154,0.5893
0.9550,0.9715,0.0922,0.0250,0.6430,0.6140
0.9090,0.9267,0.1266,0.0334,0.6724,0.6404
0.8787,0.8954,0.1616,0.0448,0.6977,0.6641
0.8532,0.8760,0.1860,0.0558,0.7106,0.6753
0.8388,0.8687,0.2054,0.0580,0.7153,0.6805
0.8329,0.8617,0.2016,0.0584,0.7194,0.6850
0.8274,0.8555,0.1990,0.0590,0.7197,0.6850
0.8272,0.8556,0.1926,0.0514,0.7199,0.6861
0.8229,0.8518,0.1940,0.0598,0.7208,0.6876
0.8207,0.8490,0.2004,0.0588,0.7212,0.6890
0.8192,0.8454,0.1996,0.0546,0.7216,0.6881
0.8207,0.8526,0.1916,0.0512,0.7196,0.6864
0.8180,0.8452,0.2020,0.0566,0.7233,0.6913
0.8132,0.8475,0.2074,0.0572,0.7216,0.6901
0.8150,0.8435,0.1918,0.0584,0.7232,0.6915
0.8150,0.8439,0.1982,0.0590,0.7223,0.6904
0.8122,0.8426,0.1972,0.0570,0.7206,0.6898
0.8130,0.8410,0.1954,0.0586,0.7238,0.6914
0.8122,0.8399,0.1876,0.0590,0.7242,0.6927
0.8088,0.8461,0.1846,0.0576,0.7227,0.6906
0.8105,0.8365,0.2026,0.0606,0.7231,0.6922
0.8104,0.8425,0.1750,0.0546,0.7232,0.6910
0.8097,0.8357,0.2140,0.0640,0.7234,0.6920
0.8065,0.8431,0.1954,0.0502,0.7206,0.6901
0.8071,0.8371,0.1994,0.0532,0.7218,0.6920
0.8076,0.8417,0.1928,0.0562,0.7226,0.6918
0.8064,0.8395,0.1988,0.0556,0.7219,0.6915
0.8054,0.8396,0.1984,0.0604,0.7230,0.6921
0.8090,0.8464,0.1930,0.0596,0.7208,0.6910
0.8074,0.8345,0.2018,0.0586,0.7232,0.6927
0.8078,0.8389,0.1932,0.0558,0.7241,0.6935
0.8062,0.8357,0.1806,0.0562,0.7229,0.6914
0.8065,0.8388,0.1800,0.0516,0.7228,0.6923
0.8044,0.8392,0.1890,0.0524,0.7242,0.6939
0.8045,0.8381,0.2022,0.0598,0.7227,0.6926
0.8042,0.8423,0.1844,0.0554,0.7220,0.6910
0.8039,0.8388,0.2028,0.0556,0.7213,0.6910
0.8036,0.8376,0.1868,0.0534,0.7232,0.6931
0.8058,0.8427,0.1962,0.0538,0.7205,0.6910
0.8071,0.8380,0.1984,0.0550,0.7222,0.6924
0.8018,0.8393,0.2092,0.0592,0.7216,0.6921
0.8050,0.8413,0.1778,0.0496,0.7232,0.6929
0.8047,0.8390,0.1978,0.0558,0.7218,0.6921
0.8021,0.8348,0.1990,0.0584,0.7230,0.6931
0.8031,0.8360,0.1804,0.0518,0.7228,0.6927
0.8030,0.8344,0.1916,0.0524,0.7230,0.6930
0.8065,0.8389,0.2036,0.0576,0.7232,0.6937
0.8027,0.8343,0.1920,0.0588,0.7224,0.6926
0.8039,0.8362,0.1884,0.0570,0.7225,0.6931
0.8045,0.8356,0.1850,0.0534,0.7229,0.6933
0.8055,0.8379,0.1790,0.0518,0.7228,0.6931
0.8027,0.8427,0.1846,0.0532,0.7198,0.6908
0.8048,0.8356,0.1856,0.0510,0.7223,0.6926
0.8009,0.8351,0.1832,0.0530,0.7227,0.6933
0.8026,0.8348,0.1656,0.0532,0.7205,0.6914
0.8029,0.8371,0.1970,0.0574,0.7204,0.6919
0.8045,0.8342,0.1856,0.0538,0.7225,0.6935
0.8018,0.8356,0.1914,0.0596,0.7227,0.6936
0.8028,0.8323,0.1942,0.0536,0.7230,0.6937
0.8019,0.8314,0.1878,0.0550,0.7227,0.6933
0.8037,0.8421,0.1722,0.0520,0.7215,0.6920
0.8043,0.8338,0.1796,0.0538,0.7231,0.6936
0.7989,0.8313,0.1888,0.0514,0.7228,0.6935
0.7997,0.8394,0.1854,0.0558,0.7227,0.6937
0.8038,0.8395,0.1898,0.0546,0.7211,0.6921
0.8014,0.8365,0.1812,0.0542,0.7221,0.6934
0.8056,0.8377,0.1800,0.0530,0.7218,0.6932
0.8054,0.8378,0.1760,0.0540,0.7220,0.6922
0.8040,0.8392,0.1884,0.0544,0.7218,0.6926
0.8056,0.8383,0.1740,0.0516,0.7202,0.6912
0.8038,0.8339,0.1924,0.0596,0.7229,0.6936
0.8038,0.8406,0.1872,0.0566,0.7222,0.6932
0.8017,0.8373,0.2068,0.0654,0.7226,0.6939
0.8037,0.8386,0.1712,0.0540,0.7215,0.6932
0.8048,0.8375,0.1874,0.0550,0.7213,0.6927
0.8054,0.8387,0.1974,0.0552,0.7214,0.6932
0.8019,0.8397,0.2026,0.0578,0.7221,0.6936
0.8038,0.8427,0.1830,0.0512,0.7208,0.6914
0.8022,0.8416,0.2030,0.0562,0.7210,0.6926
0.8047,0.8393,0.1762,0.0524,0.7219,0.6930
0.8031,0.8401,0.1974,0.0592,0.7203,0.6920
0.8055,0.8420,0.1922,0.0558,0.7213,0.6919
0.8034,0.8359,0.1818,0.0536,0.7216,0.6922
0.8045,0.8341,0.1924,0.0528,0.7216,0.6935
0.8052,0.8393,0.1878,0.0528,0.7219,0.6933
0.8028,0.8382,0.1922,0.0576,0.7212,0.6931
0.8034,0.8351,0.1806,0.0542,0.7223,0.6943
0.8041,0.8360,0.1836,0.0524,0.7225,0.6940
0.8035,0.8399,0.1848,0.0522,0.7210,0.6918
0.8073,0.8415,0.1872,0.0546,0.7190,0.6904
0.8040,0.8375,0.1806,0.0544,0.7212,0.6926
