train_loss,valid_loss,train_precision,valid_precision,roc_auc_train,roc_auc_valid
1.2597,1.1143,0.0860,0.0250,0.5786,0.5597
1.0601,1.0291,0.1678,0.0438,0.6186,0.5905
0.9939,1.0089,0.1746,0.0422,0.6296,0.5976
0.9690,0.9808,0.1864,0.0500,0.6482,0.6120
0.9181,0.8814,0.2572,0.0726,0.7066,0.6676
0.8255,0.8079,0.2772,0.0770,0.7472,0.7070
0.7525,0.7489,0.2966,0.0882,0.7765,0.7353
0.6990,0.7090,0.3198,0.0958,0.7938,0.7521
0.6702,0.6947,0.3382,0.1050,0.8023,0.7605
0.6431,0.6753,0.3342,0.1042,0.8111,0.7674
0.6255,0.6620,0.3432,0.1080,0.8166,0.7721
0.6101,0.6488,0.3432,0.1070,0.8213,0.7765
0.6008,0.6441,0.3580,0.1132,0.8244,0.7776
0.5911,0.6405,0.3598,0.1140,0.8290,0.7821
0.5808,0.6290,0.3626,0.1172,0.8319,0.7836
0.5735,0.6302,0.3556,0.1082,0.8354,0.7864
0.5668,0.6309,0.3628,0.1062,0.8364,0.7869
0.5576,0.6217,0.3670,0.1132,0.8391,0.7890
0.5524,0.6253,0.3722,0.1150,0.8417,0.7908
0.5488,0.6161,0.3862,0.1260,0.8425,0.7916
0.5421,0.6127,0.3872,0.1200,0.8445,0.7918
0.5368,0.6193,0.3936,0.1234,0.8477,0.7939
0.5313,0.6149,0.3912,0.1266,0.8477,0.7931
0.5248,0.6033,0.3896,0.1222,0.8517,0.7964
0.5275,0.6040,0.3874,0.1192,0.8522,0.7969
0.5210,0.6073,0.3784,0.1224,0.8533,0.7981
0.5186,0.6052,0.3986,0.1310,0.8532,0.7973
0.5176,0.6028,0.3988,0.1284,0.8567,0.7993
0.5076,0.6065,0.3930,0.1270,0.8561,0.7994
0.5073,0.5967,0.4078,0.1312,0.8572,0.7991
0.5057,0.5921,0.3962,0.1224,0.8583,0.8015
0.5046,0.5966,0.4026,0.1240,0.8582,0.8007
0.5016,0.5988,0.4002,0.1206,0.8612,0.8028
0.4960,0.5896,0.3944,0.1226,0.8609,0.8024
0.4999,0.6013,0.3914,0.1182,0.8620,0.8043
0.4948,0.5943,0.4010,0.1282,0.8625,0.8040
0.4947,0.5956,0.4054,0.1258,0.8638,0.8045
0.4970,0.5913,0.4144,0.1330,0.8644,0.8050
0.4944,0.5869,0.3962,0.1258,0.8643,0.8047
0.4950,0.5984,0.4070,0.1302,0.8650,0.8060
0.4926,0.5926,0.4036,0.1198,0.8648,0.8044
0.4905,0.5917,0.4056,0.1256,0.8658,0.8062
0.4859,0.5942,0.3984,0.1186,0.8678,0.8073
0.4892,0.5895,0.4074,0.1262,0.8664,0.8060
0.4862,0.5897,0.4132,0.1244,0.8668,0.8053
0.4888,0.5861,0.4014,0.1238,0.8675,0.8062
0.4829,0.5847,0.4050,0.1220,0.8684,0.8072
0.4880,0.5882,0.4186,0.1324,0.8692,0.8068
0.4822,0.5951,0.4116,0.1252,0.8695,0.8065
0.4794,0.5868,0.4112,0.1248,0.8695,0.8070
0.4815,0.5905,0.4190,0.1326,0.8694,0.8069
0.4806,0.5769,0.4168,0.1288,0.8708,0.8088
0.4801,0.5876,0.4184,0.1332,0.8701,0.8066
0.4759,0.5871,0.4174,0.1310,0.8706,0.8075
0.4730,0.5822,0.4234,0.1366,0.8712,0.8075
0.4771,0.5895,0.4276,0.1322,0.8713,0.8083
0.4742,0.5869,0.4242,0.1394,0.8720,0.8078
0.4763,0.5892,0.4214,0.1296,0.8718,0.8080
0.4743,0.5862,0.4188,0.1202,0.8718,0.8086
0.4756,0.5830,0.4210,0.1238,0.8733,0.8100
0.4703,0.5781,0.4202,0.1318,0.8733,0.8105
0.4740,0.5755,0.4216,0.1286,0.8737,0.8099
0.4691,0.5844,0.4232,0.1352,0.8738,0.8095
0.4715,0.5723,0.4200,0.1252,0.8742,0.8102
0.4709,0.5791,0.4192,0.1324,0.8747,0.8098
0.4681,0.5855,0.4208,0.1350,0.8741,0.8097
0.4638,0.5819,0.4232,0.1346,0.8748,0.8090
0.4678,0.5840,0.4272,0.1290,0.8747,0.8086
0.4670,0.5730,0.4298,0.1322,0.8763,0.8107
0.4676,0.5916,0.4260,0.1308,0.8754,0.8097
0.4681,0.5739,0.4270,0.1288,0.8770,0.8107
0.4613,0.5777,0.4338,0.1246,0.8760,0.8096
0.4647,0.5828,0.4390,0.1280,0.8771,0.8106
0.4656,0.5860,0.4354,0.1304,0.8777,0.8115
0.4650,0.5805,0.4316,0.1368,0.8773,0.8096
0.4648,0.5808,0.4430,0.1354,0.8773,0.8106
0.4636,0.5886,0.4388,0.1324,0.8781,0.8102
0.4626,0.5841,0.4288,0.1244,0.8786,0.8106
0.4611,0.5821,0.4436,0.1320,0.8784,0.8099
0.4616,0.5731,0.4422,0.1338,0.8791,0.8108
0.4610,0.5771,0.4372,0.1280,0.8802,0.8126
0.4602,0.5735,0.4372,0.1366,0.8806,0.8124
0.4571,0.5805,0.4434,0.1290,0.8801,0.8121
0.4605,0.5784,0.4284,0.1234,0.8806,0.8128
0.4579,0.5815,0.4262,0.1290,0.8797,0.8117
0.4549,0.5813,0.4462,0.1326,0.8818,0.8133
0.4557,0.5859,0.4318,0.1262,0.8810,0.8115
0.4491,0.5840,0.4368,0.1290,0.8814,0.8124
0.4584,0.5845,0.4470,0.1302,0.8814,0.8121
0.4556,0.5888,0.4440,0.1326,0.8815,0.8108
0.4556,0.5837,0.4422,0.1314,0.8822,0.8132
0.4547,0.5783,0.4498,0.1262,0.8827,0.8125
0.4524,0.5756,0.4542,0.1286,0.8832,0.8127
0.4545,0.5772,0.4478,0.1342,0.8824,0.8126
0.4567,0.5883,0.4486,0.1314,0.8823,0.8122
